Unnamed: 0,Name,Type,Health,Attack,Defence,Moves
10,Wartortle,Water,59,63,80,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
11,Blastoise,Water,79,83,100,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
12,Blastoise,Water,79,103,120,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
13,Caterpie,Bug,45,30,35,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
14,Metapod,Bug,50,20,55,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
15,Butterfree,Bug,60,45,50,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
16,Weedle,Bug,40,35,30,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
17,Kakuna,Bug,45,25,50,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
18,Beedrill,Bug,65,90,40,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
19,Beedrill,Bug,65,150,40,"Attack Order,Bug Bite,Bug Buzz,Defend Order,Fell Stinger,First Impression,Fury Cutter,G-Max Befuddle,Heal Order,Infestation,Leech Life,Lunge,Max Flutterby,Megahorn,Pin Missile,Pollen Puff,Pounce,Powder,Quiver Dance,Rage Powder,Savage Spin-Out,Signal Beam,Silk Trap,Silver Wind,Skitter Smack,Spider Web,Steamroller,Sticky Web,String Shot,Struggle Bug,Tail Glow,Twineedle,U-turn,X-Scissor"
20,Pidgey,Normal,40,45,40,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
21,Pidgeotto,Normal,63,60,55,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
22,Pidgeot,Normal,83,80,75,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
23,Pidgeot,Normal,83,80,80,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
24,Rattata,Normal,30,56,35,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
25,Rattata,Dark,30,56,35,"Assurance,Baddy Bad,Beat Up,Bite,Black Hole Eclipse,Brutal Swing,Ceaseless Edge,Comeuppance,Crunch,Dark Pulse,Dark Void,Darkest Lariat,Embargo,Fake Tears,False Surrender,Feint Attack,Fiery Wrath,Flatter,Fling,Foul Play,G-Max One Blow,G-Max Snooze,Hone Claws,Hyperspace Fury,Jaw Lock,Knock Off,Kowtow Cleave,Lash Out,Malicious Moonsault,Max Darkness,Memento,Nasty Plot,Night Daze,Night Slash,Obstruct,Parting Shot,Payback,Power Trip,Punishment,Pursuit,Quash,Ruination,Snarl,Snatch,Sucker Punch,Switcheroo,Taunt,Thief,Throat Chop,Topsy-Turvy,Torment,Wicked Blow,Wicked Torque"
